#			MW (Memory Write)				MD (Memory Dump) --> µs				CD (Complete Dump)  --> s
#			van_1		pml_1		epml_1		van_2		pml_2		epml_2		van_3		pml_3		epml_3
kmeans			82363.5		47369		47369		117344		1308565		49167.699	0.244946	1.306875	0.229412111
#matrix\\_multiply	37348		3010		3010		56498		102504		21928.509	0.156987	0.209899	0.174546776
pca			3029240		191922		191922		3276442		14223324	241063.738	39.817081	42.180576	21.03761872
word-count		484353		207916		207916		606125		2888468		135452.517	1.757504	4.388202	1.012588443
