#			1st cycle			intermediate cycles		complete collection
#			van_1		pml_1		van_2		pml_2		van_3		pml_3		
histogram		523.631	8444.168	226910.807	183091.965	227434.438	191536.133
kmeans			453.762	11996.536	3387.757	1520.539	3972.676	13546.383
matrix\\_multiply 	447.013	13197.392	30110.289	28375.795	30557.302	41573.187
pca			531.007	11769.246	4309.445	3425.045	4840.452	15194.291
string\\_match		472.82		12139.241	35853.853	35295.756	36326.673	47434.997
word\\_count		140.673	6916.616	45356.841	44670.607	45497.514	51587.223
GCBench		392.775	11351.193	247582.243	146298.039	247975.018	157649.232
