#		1st cycle			intermediate cycles		complete collection
#		van_1	pml_1		epml_1	van_2		pml_2				van_3		pml_3
small	441.287	11556.639	117.654	5116.945	3327.316	3327.316	5558.232	14883.955	3444.97
medium	435.906	12821.335	462.543	6834.546	5421.6015	3875.686	7270.452	18242.9365	4338.229
large	447.013	13197.392	126.654	30110.289	28375.795	26088.144	30557.302	41573.187	26214.798
