#		1st cycle			intermediate cycles		complete collection
#		van_1	pml_1		epml_1	van_2		pml_2				van_3		pml_3
small	446.117	12280.0795	124.807	11121.202	11437.413	8380.597	11567.319	23717.4925	8505.404
medium	444.752	12559.744	158.032	19228.597	18739.17	13665.992	19673.349	31298.914	13824.024
large	472.82	12139.241	57	35853.853	35295.756	30291.248	36326.673	47434.997	30348.248
